time,Seconds,Latitude,Longitude,Absolute pedal position D (%),Vehicle acceleration (g),Vehicle speed (mph)
0 days 08:06:42.212000,980.052,40.13109453,-111.64747595,24.0,-0.030611012419496,69.5935735305814
0 days 08:06:44.162000,982.002,40.130815,-111.64758191,24.0,-0.030611012419496,69.5935735305814
0 days 08:06:46.212000,984.052,40.130264,-111.64779188,24.0,-0.030611012419496,71.4576871072934
0 days 08:06:47.219000,985.059,40.12974103,-111.64811188,27.0,-0.030611012419496,72.0790582995307
0 days 08:06:49.343000,987.183,40.12923383,-111.6484748,27.0,0.0179357925320994,72.7004294917681
0 days 08:06:51.224000,989.064,40.1287529,-111.64888586,24.0,0.0179357925320994,72.7004294917681
0 days 08:06:53.243000,991.083,40.12823279,-111.64935407,27.0,0.012959864731131,73.3218006840054
0 days 08:06:55.308000,993.148,40.12778354,-111.64987057,25.0,0.0091455676652108,73.3218006840054
0 days 08:06:57.347000,995.187,40.12730759,-111.65040116,25.0,0.0091455676652108,72.7004294917681
0 days 08:06:59.259000,997.099,40.12690845,-111.65101959,27.0,0.0091455676652108,73.3218006840054
0 days 08:07:01.247000,999.087,40.12660054,-111.65167771,26.0,0.0091455676652108,73.9431718762427
0 days 08:07:03.088000,1000.928,40.12644235,-111.65197938,28.0,0.0091455676652108,73.9431718762427
0 days 08:07:04.482000,1002.322,40.12608553,-111.65264046,29.0,0.0074148584543691,73.9431718762427
0 days 08:07:06.243000,1004.083,40.12575144,-111.65330896,32.0,0.0078303485442122,74.5645430684801
0 days 08:07:08.253000,1006.093,40.12542794,-111.65394471,30.0,0.0039439582757845,74.5645430684801
0 days 08:07:10.249000,1008.089,40.1252613,-111.65427168,30.0,0.0039439582757845,73.3218006840054
0 days 08:07:11.929000,1009.769,40.12495267,-111.65494818,23.0,-0.0111475570009236,72.0790582995307
0 days 08:07:14.233000,1012.073,40.12464179,-111.65561841,25.0,-0.0148474521852143,72.0790582995307
0 days 08:07:16.040000,1013.88,40.12431949,-111.65626141,28.0,-0.0148474521852143,72.7004294917681
0 days 08:07:17.424000,1015.264,40.12394346,-111.65689865,25.0,-0.0148474521852143,72.7004294917681
0 days 08:07:19.228000,1017.068,40.12357936,-111.65750155,24.0,0.0036229992342256,72.7004294917681
0 days 08:07:21.242000,1019.082,40.1233881,-111.65781705,27.0,0.0072244640516124,73.3218006840054
0 days 08:07:22.737000,1020.577,40.12301357,-111.65838585,23.0,0.0072244640516124,72.7004294917681
0 days 08:07:24.866000,1022.706,40.12261065,-111.65893743,26.0,0.0072244640516124,72.0790582995307
0 days 08:07:26.390000,1024.23,40.12222035,-111.65949289,26.0,-0.0038766515964143,72.0790582995307
0 days 08:07:28.171000,1026.011,40.1220159,-111.65978096,19.0,-0.0117201610005908,71.4576871072934
0 days 08:07:30.536000,1028.376,40.12143047,-111.66059422,27.0,-0.0117201610005908,71.4576871072934
0 days 08:07:32.371000,1030.211,40.12101821,-111.66110907,22.0,-0.0037276561474209,71.4576871072934
0 days 08:07:34.258000,1032.098,40.12082062,-111.66138103,21.0,-0.0072206194569716,70.8363159150561
